country,1952,1957,1962,1967,1972,1977,1982,1987,1992
Indonesia,0,-1,-5,-7,-7,-7,-7,-7,-7
Iran,-1,-10,-10,-10,-10,-10,-6,-6,-6
Iraq,-4,-4,-5,-5,-7,-7,-9,-9,-9
Ireland,10,10,10,10,10,10,10,10,10
Israel,10,10,10,9,9,9,9,9,9
Italy,10,10,10,10,10,10,10,10,10
Japan,10,10,10,10,10,10,10,10,10
Jordan,-1,-9,-9,-9,-9,-10,-10,-9,-2
Kazakhstan,-9,-7,-7,-7,-7,-7,-7,-7,-3
"Korea, Dem. Rep.",-7,-8,-8,-9,-9,-9,-9,-9,-9
"Korea, Rep.",-4,-4,-7,3,-9,-8,-5,1,6
Kyrgyzstan,-9,-7,-7,-7,-7,-7,-7,-7,-3
Latvia,-9,-7,-7,-7,-7,-7,-7,-7,8
Lebanon,2,2,2,2,5,0,0,0,0
Liberia,-6,-6,-6,-6,-6,-6,-7,-6,0
Libya,-7,-7,-7,-7,-7,-7,-7,-7,-7
Lithuania,-9,-7,-7,-7,-7,-7,-7,-7,10
"Macedonia, FYR",-7,-7,-7,-7,-7,-7,-5,-5,6
Mexico,-6,-6,-6,-6,-6,-3,-3,-3,0
Moldova,-9,-7,-7,-7,-7,-7,-7,-7,5
Mongolia,-7,-7,-7,-7,-7,-7,-7,-7,9
Montenegro,-7,-7,-7,-7,-7,-7,-5,-5,-5
Myanmar,8,8,-6,-7,-7,-6,-8,-8,-7
Nepal,-7,-4,-9,-9,-9,-9,-2,-2,5
Netherlands,10,10,10,10,10,10,10,10,10
New Zealand,10,10,10,10,10,10,10,10,10
Nicaragua,-8,-8,-8,-8,-8,-8,-5,-1,6
Norway,10,10,10,10,10,10,10,10,10
Oman,-6,-10,-10,-10,-10,-10,-10,-10,-9
Pakistan,5,8,1,1,4,-7,-7,-4,8
Panama,-1,4,4,4,-7,-7,-5,-8,8
Paraguay,-5,-9,-9,-8,-8,-8,-8,-8,7
Peru,-2,5,-6,5,-7,-7,7,7,-3
Philippines,5,5,5,5,-9,-9,-7,8,8
Poland,-7,-7,-7,-7,-7,-7,-8,-6,8
Portugal,-9,-9,-9,-9,-9,9,10,10,10
Romania,-7,-7,-7,-7,-7,-8,-8,-8,5
Russia,-9,-7,-7,-7,-7,-7,-7,-7,5
Saudi Arabia,-10,-10,-10,-10,-10,-10,-10,-10,-10
Serbia,-7,-7,-7,-7,-7,-7,-5,-5,-5
Slovak Republic,-7,-7,-7,-7,-7,-7,-7,-7,8
Slovenia,-7,-7,-7,-7,-7,-7,-5,-5,10
South Africa,4,4,4,4,4,4,4,4,6
Spain,-7,-7,-7,-7,-7,5,10,10,10
Sri Lanka,7,7,7,7,8,8,5,5,5
Sweden,10,10,10,10,10,10,10,10,10
Switzerland,10,10,10,10,10,10,10,10,10
Syria,-7,7,-2,-7,-9,-9,-9,-9,-9
Taiwan,-8,-8,-8,-8,-8,-7,-7,-1,7
Tajikistan,-9,-7,-7,-7,-7,-7,-7,-7,-6
Thailand,-6,-3,-7,-7,-7,-2,2,2,9
Turkey,7,4,9,8,-2,9,-5,7,9
Turkmenistan,-9,-7,-7,-7,-7,-7,-7,-7,-9
Ukraine,-9,-7,-7,-7,-7,-7,-7,-7,6
United Kingdom,10,10,10,10,10,10,10,10,10
United States,10,10,10,10,10,10,10,10,10
Uruguay,8,8,8,8,-3,-8,-7,9,10
Uzbekistan,-9,-7,-7,-7,-7,-7,-7,-7,-9
Venezuela,-3,-3,6,6,9,9,9,9,8
