name,score,rating,type,millions,over200
How to Lose a Guy in 10 Days,50.299999,PG-13,rom comedy,106.094,0
Identity,60,R,suspense,52.131001,0
In the Cut,53.599998,R,suspense,4.717,0
Intolerable Cruelty,67.099998,PG-13,rom comedy,35.188999,0
It Runs in the Family,55.599998,PG-13,comedy,7.4920001,0
Jeepers Creepers 2,44.200001,R,horror,35.667,0
Johnny English,56.400002,PG,comedy,28.082001,0
Just Married,41.5,PG-13,rom comedy,56.126999,0
Kangaroo Jack,30.4,PG,comedy,66.746002,0
Kill Bill - Vol 1,84.099998,R,action,69.869003,0
"Lara Croft, Tomb Raider",48.799999,PG-13,adventure,65.660004,0
Le Divorce,59.599998,PG-13,comedy,9.0810003,0
Legally Blonde 2,50.799999,PG-13,comedy,89.920998,0
Looney Tunes: Back in Action,59.299999,PG,comedy,20.808001,0
Lost in Translation,94.599998,R,drama,43.216999,0
Love Actually,70.5,R,rom comedy,59.365002,0
Love Don't Cost a Thing,45.400002,PG-13,rom comedy,21.802999,0
Malibu's Most Wanted,44.799999,PG-13,comedy,34.34,0
Marci X,36.200001,R,comedy,1.649,0
Master and Commander,87.599998,PG-13,action,92.075996,0
Matchstick Men,68.900002,PG-13,comedy,36.886002,0
Mona Lisa Smile,55.799999,PG-13,drama,63.695999,0
Monster,64.900002,R,drama,23.802,0
My Boss's Daughter,33.200001,PG-13,rom comedy,15.551,0
Mystic River,89.900002,R,drama,79.207001,0
National Security,37.900002,PG-13,action,35.764999,0
Old School,54.700001,R,comedy,74.663002,0
Once Upon A Time in Mexico,64.599998,R,action,55.846001,0
Open Range,71.599998,R,western,58.331001,0
Out of Time,65.800003,PG-13,suspense,41.077,0
Paycheck,48.299999,PG-13,sci-fi,53.428001,0
Peter Pan,67.5,PG,fantasy,47.581001,0
Phone Booth,62.099998,R,suspense,46.566002,0
Piglet's Big Movie,63.599998,G,animated,23.103001,0
Pirates of the Caribbean,67.800003,PG-13,action,305.414,1
Radio,54.200001,PG,drama,51.987,0
Rugrats Go Wild,55.599998,PG,animated,39.403,0
Runaway Jury,65.400002,PG-13,suspense,49.441002,0
S.W.A.T.,55.400002,PG-13,action,116.643,0
Scary Movie 3,50.200001,PG-13,comedy,110,0
Seabiscuit,81.300003,PG-13,drama,120.171,0
Secondhand Lions,57.900002,PG,drama,41.521,0
Shanghai Knights,62.099998,PG-13,action,60.477001,0
Sinbad: Legend of the Seven Seas,55.299999,PG,animated,26.309,0
Something's Gotta Give,75.5,PG-13,rom comedy,121.418,0
Spy Kids 3-D: Game Over,65,PG,adventure,111.761,0
Stuck on You,65.599998,PG-13,comedy,33.762001,0
Tears of the Sun,53.099998,R,action,43.426998,0
Terminator 3:Rise of the Machines,71.300003,R,action,150.358,0
The Core,53.099998,PG-13,sci-fi,31.187,0
The Fighting Temptations,63.299999,PG-13,comedy,30.250999,0
The Haunted Mansion,45.299999,PG,comedy,74.32,0
The Hulk,61,PG-13,action,132.17599,0
The Hunted,54,R,action,34.316002,0
The In-Laws,44.799999,PG-13,comedy,20.452999,0
The Italian Job,66.5,PG-13,action,106.129,0
The Jungle Book 2,55.200001,G,animated,47.902,0
The Last Samurai,67.800003,R,drama,110.069,0
The League of Extraordinary Gentlemen,43.200001,PG-13,action,66.464996,0
The Life of David Gale,46.900002,R,suspense,19.955999,0
The Lizze McGuire Movie,57.099998,PG,comedy,42.717999,0
The Lord of the Rings III,92.199997,PG-13,fantasy,361.11899,1
The Matrix Reloaded,70.099998,R,action,281.51901,1
The Matrix Revolutions,49.700001,R,action,139.25999,0
The Medallion,46.200001,PG-13,action,22.219,0
The Missing,67,R,western,26.9,0
The Order,29.799999,R,suspense,7.6609998,0
The Real Cancun,40.799999,R,documentary,3.779,0
The Recruit,62.599998,PG-13,suspense,52.801998,0
The Rundown,60.400002,PG-13,action,47.611,0
The School of Rock,86.400002,PG-13,comedy,81.238998,0
The Texas Chainsaw Massacre,42.200001,PG-13,horror,80.167999,0
Timeline,42.900002,R,action,19.481001,0
Tupac: Resurrection,69.5,R,documentary,7.7189999,0
Under the Tuscan Sun,63.099998,PG-13,comedy,43.501999,0
Underworld,46.200001,R,action,51.484001,0
Uptown Girls,38.5,PG-13,comedy,37.181999,0
View from the Top,43.700001,PG-13,comedy,15.597,0
What a Girl Wants,53.299999,PG,comedy,36.016998,0
Willard,60.299999,PG-13,horror,6.8520002,0
Wrong Turn,32.599998,R,horror,15.419,0
X2: X-Men United,72.5,PG-13,action,214.95,1
